Sample	System	Organ	CellType
ENCSR000AAK.Dermis_Microvascular_Lymphatic_Vessel_Endothelial_Primary_Cells.CSHL_Gingeras	Skin	Dermis	Endothelial
ENCSR348EFG.HUES64_Cells.Harvard	Embryonic	ESC	ESC
ENCSR663IOE.Spleen.Stanford_Snyder	Immune	Spleen	Spleen
ENCSR000AAA.Aortic_Smooth_Muscle.CSHL_Gingeras	Cardiovascular	Aorta	Smooth
ENCSR000CPT.MCF.7_Mammary_Gland_Adenocarcinoma_Cell_Line.CSHL_Gingeras	Breast	Gland	Adenocarcinoma
ENCSR522XTV.Fetal_Muscle_Back.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR382XJF.hESC_Derived_CD56._Ectoderm_Cultured_Cells.Harvard	Embryonic	Ectoderm	Ectoderm
ENCSR922VBO.Gastric.Stanford_Snyder	Gastrointestinal	Stomach	Stomach
ENCSR000AAO.NHLF_Lung_Fibroblast_Primary_Cells.CSHL_Gingeras	Respiratory	Lung	Fibroblast
ENCSR000AAC.Bladder_Smooth_Muscle.CSHL_Gingeras	Urinary	Bladder	Smooth
ENCSR000CWQ.MCF.7_Mammary_Gland_Adenocarcinoma_Cell_Line.Caltech_Wold	Breast	Gland	Adenocarcinoma
ENCSR000EYN.GM12878_Lymphoblastoid_Cells.Caltech_Wold	Blood	Blood	Lymphoblastoid
ENCSR000CON.A549_EtOH_pt02pct_Lung_Carcinoma_Cell_Line.CSHL_Gingeras	Respiratory	Lung	Carcinoma
ENCSR229JRA.Fetal_Thymus.UW_Glass	Immune	Thymus	Thymus
ENCSR908ZAS.H9_Derived_Liver_Cultured_Cells.CSHL_Gingeras	Gastrointestinal	Liver	ES.derived
ENCSR000AEQ.K562_Leukemia_Cells.Caltech_Wold	Blood	Blood	Leukemia
ENCSR560MDQ.Fetal_Lung.UW_Glass	Respiratory	Lung	Lung
ENCSR107OEQ.Ganglion_Eminence_derived_primary_cultured_neurospheres.UCSF_Costello	Nervous	Brain	Neurosphere
ENCSR239EBA.Primary_T_helper_naive_cells_from_peripheral_blood.UCSF_Costello	Blood	Blood	T.cell
ENCSR669KQU.SK.MEL.5_Malignant_Melanoma_Cell_Line.CSHL_Gingeras	Skin	Epidermis	Melanoma
ENCSR363BVC.Fetal_Intestine_Large.UW_Glass	Gastrointestinal	Large Intestine	Large Intestine
ENCSR755LFM.Fetal_Testes.UW_Glass	Reproductive	Testes	Testes
ENCSR815UVL.Mammary_Microvascular_Endothelial_Primary_Cells.CSHL_Gingeras	Breast	Vascular	Endothelial
ENCSR000CUR.HEM_Epidermal_Melanocyte_Primary_Cells.CSHL_Gingeras	Skin	Epidermis	Melanocyte
ENCSR150JIX.Fetal_Intestine_Small.UW_Glass	Gastrointestinal	Small Intestine	Small Intestine
ENCSR880XLM.Placenta.UW_Glass	Reproductive	Placenta	Placenta
ENCSR704ASN.Mammary_Gland_Stem_Cells.UCSF_Costello	Breast	Gland	Stem
ENCSR000EYS.HUVEC_Umbilical_Vein_Endothelial_Primary_Cells.Caltech_Wold	Reproductive	Umbilical cord	Endothelial
ENCSR980UEY.Gastric.Stanford_Snyder	Gastrointestinal	Stomach	Stomach
